subject,number,name,credit_num,description,prerequisites,course
ECAC,121,Principles of Accounting I Practice Set ,1,This course reviews the accounting principle applications covered in ECON 121 using computerized practice sets. The course is an excellent review for transfer students and those students who wish to review accounting concepts and procedures before taking additional coursework in this area.,ECON 121 with a grade of ‘C’ or better.,ECAC 121
ECAC,122,Principles of Accounting II Practice Set ,1,This course reviews accounting principle applications covered in ECON 122 using computerized practice sets. The course is an excellent review for transfer students and those students who wish to review accounting concepts and procedures before taking intermediate-level coursework.,ECON 122 with a grade of ‘C’ or better.,ECAC 122
ECAC,200,Survey of Accounting for Entrepreneurs ,3,"The course is designed to meet the needs of non-accountants who want a basic understanding of financial statements and who want to learn how to use accounting information in the decision-making process. Topics will include organizational structure, financial reporting with an overview of the accounting cycle, cost management and management control. This survey course is designed for students who have not had previous accounting instruction.",,ECAC 200
ECAC,300,Special Topics in Accounting ,3,"The study of a particular topic in the field of accounting. Students should refer to the course description, including any additional prerequisites, published in the schedule of classes. Topics will be published in the Schedule of Classes. This course is repeatable for credit with different topic.",ECON 121 with a grade of ‘C’ or better.,ECAC 300
ECAC,317,Accounting Information Systems ,3,"This course examines accounting systems concepts and technologies, transaction processing systems and the control of accounting information. The roles and uses of technology will be explored in regard to accounting systems design, financial and processing controls, performance evaluation and information security.",ECON 122 with a grade of ‘C’ or better.,ECAC 317
ECAC,321,Auditing Theory and Practice ,3,"A study of the principles and problems of auditing: preparation of working papers and reports, control systems and certification.",ECON 302 with a grade of ‘C’ or better.,ECAC 321
ECAC,329,Cost Accounting ,3,"Analysis of manufacturing costs and costs of services. The application of these costs to such problems as job order and process costs, standard costs, direct costs, and budgetary and break-even analysis.",ECON 121 and ECON 122 with a grade of ‘C’ or better.,ECAC 329
ECAC,330,Principles of Taxation ,3,A study of federal taxation related to individuals and corporations. Emphasis will be on practical applications of tax law and preparation of tax returns.,ECON 121 with a grade of ‘C’ or better.,ECAC 330
ECAC,351,Advanced Cost Accounting ,3,"Continuation of ECAC 329 , with emphasis on divisional performance measurement, transfer pricing and use of statistical decision models in cost analysis.",ECAC 329 with a grade of ‘C’ or better.,ECAC 351
ECAC,399,Accounting Internship ,3,"This internship provides students an opportunity to receive experience in positions related to accounting. Although many students have some sort of job during their college career, this internship is designed to offer a more progressive experience coupled with relevant academic requirements. This internship includes on-the-job experience and directed reading.  This course is repeatable for credit. Recommended Preparation: ECON 121 and ECON 122 .",,ECAC 399
ECAC,401,Advanced Accounting ,3,"Advanced accounting theory, including specialized problems in partnerships, ventures, consignments, installment sales, insurance statement of affairs, receivers’ accounts, realization and liquidation reports, and consolidation of parent or subsidiary accounts.",ECON 302 with a grade of ‘C’ or better.,ECAC 401
ECAC,420,Information Systems for Auditors ,3,"Information Systems Auditing involves the examination of controls within an organization’s IT infrastructure. Formerly known as an EDP Audit, the IS Audit involves collecting and evaluating evidence about an organization’s systems, practices and operations. This course covers methods and outcomes of those procedures as well as the impact and implications involving controls mandated by governmental agencies.",ECAC 321 or IS 300 with a grade of ‘C’ or better.,ECAC 420
AFST,100,Introduction to The Black Experience ,3,Understanding the black experience in the African diaspora. A survey of historical and sociocultural ties that link people of African descent worldwide. African roots in world civilizations are discussed. This course is an introductory course for majors and nonmajors.,,AFST 100
AFST,100Y,Introduction to The Black Experience ,3,Understanding the black experience in the African diaspora. A survey of historical and sociocultural ties that link people of African descent worldwide. African roots in world civilizations are discussed. This course is an introductory course for majors and nonmajors.,,AFST 100Y
AFST,201,Introduction to Methodology and Research in Africana Studies ,3,"An overview of methodologies of basic research, with examples and issues drawn from the sub-fields of Africana studies. Includes an introduction to selected concepts and use of the computer for statistical analysis.",,AFST 201
